Namespace(weights=['/home/joseph/Documents/git/yolov7/runs/train/yolo_foosball_det_1/weights/best.pt'], source='/home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4', img_size=640, conf_thres=0.25, iou_thres=0.45, device='', view_img=False, save_txt=False, save_conf=False, nosave=False, classes=None, agnostic_nms=False, augment=False, update=False, project='runs/detect', name='exp', exist_ok=False, no_trace=False)
Fusing layers... 
IDetect.fuse
 Convert model to Traced-model... 
 traced_script_module saved! 
 model is traced! 

video 1/1 (28/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (29/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.2ms) Inference, (0.7ms) NMS
video 1/1 (30/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (31/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (32/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.1ms) Inference, (1.0ms) NMS
video 1/1 (33/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (4.2ms) Inference, (0.7ms) NMS
video 1/1 (34/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (35/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (36/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.3ms) Inference, (0.7ms) NMS
video 1/1 (37/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (38/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.7ms) Inference, (0.7ms) NMS
video 1/1 (39/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (40/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (41/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (4.0ms) Inference, (0.7ms) NMS
video 1/1 (42/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (43/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (44/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (45/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.2ms) Inference, (1.0ms) NMS
video 1/1 (46/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (47/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (48/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.5ms) Inference, (0.7ms) NMS
video 1/1 (49/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (4.2ms) Inference, (1.0ms) NMS
video 1/1 (50/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.3ms) Inference, (0.8ms) NMS
video 1/1 (51/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.1ms) Inference, (0.7ms) NMS
video 1/1 (52/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (53/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.1ms) Inference, (0.7ms) NMS
video 1/1 (54/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (55/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (56/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (57/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.1ms) Inference, (0.7ms) NMS
video 1/1 (58/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (59/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (60/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.4ms) Inference, (0.7ms) NMS
video 1/1 (61/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
